Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
Switzerland,Biodiesel - Production,2004,"Metric tons,  thousand",3,
Turkey,Biodiesel - Production,2020,"Metric tons,  thousand",75.385,
Turkey,Biodiesel - Production,2019,"Metric tons,  thousand",121,
Turkey,Biodiesel - Production,2018,"Metric tons,  thousand",109.423,
Turkey,Biodiesel - Production,2017,"Metric tons,  thousand",66.711,
Turkey,Biodiesel - Production,2016,"Metric tons,  thousand",63,
Turkey,Biodiesel - Production,2015,"Metric tons,  thousand",69,
Turkey,Biodiesel - Production,2014,"Metric tons,  thousand",36,
Turkey,Biodiesel - Production,2013,"Metric tons,  thousand",22,
Turkey,Biodiesel - Production,2012,"Metric tons,  thousand",18,
Turkey,Biodiesel - Production,2011,"Metric tons,  thousand",12,
Turkey,Biodiesel - Production,2010,"Metric tons,  thousand",7,
Turkey,Biodiesel - Production,2009,"Metric tons,  thousand",1,
Turkey,Biodiesel - Production,2008,"Metric tons,  thousand",10,
Turkey,Biodiesel - Production,2007,"Metric tons,  thousand",14,
Turkey,Biodiesel - Production,2006,"Metric tons,  thousand",22,
United Kingdom,Biodiesel - Production,2020,"Metric tons,  thousand",496,
United Kingdom,Biodiesel - Production,2019,"Metric tons,  thousand",510,
United Kingdom,Biodiesel - Production,2018,"Metric tons,  thousand",476,
United Kingdom,Biodiesel - Production,2017,"Metric tons,  thousand",467,
United Kingdom,Biodiesel - Production,2016,"Metric tons,  thousand",342,
United Kingdom,Biodiesel - Production,2015,"Metric tons,  thousand",149,
United Kingdom,Biodiesel - Production,2014,"Metric tons,  thousand",143,
United Kingdom,Biodiesel - Production,2013,"Metric tons,  thousand",267,
United Kingdom,Biodiesel - Production,2012,"Metric tons,  thousand",249,
United Kingdom,Biodiesel - Production,2011,"Metric tons,  thousand",179,
United Kingdom,Biodiesel - Production,2010,"Metric tons,  thousand",155,
United Kingdom,Biodiesel - Production,2009,"Metric tons,  thousand",198,
United Kingdom,Biodiesel - Production,2008,"Metric tons,  thousand",282,
United Kingdom,Biodiesel - Production,2007,"Metric tons,  thousand",427,
United Kingdom,Biodiesel - Production,2006,"Metric tons,  thousand",256,
United Kingdom,Biodiesel - Production,2005,"Metric tons,  thousand",9,
United States,Biodiesel - Production,2020,"Metric tons,  thousand",6040.234,
United States,Biodiesel - Production,2019,"Metric tons,  thousand",5742.612,
United States,Biodiesel - Production,2018,"Metric tons,  thousand",6187.521,
United States,Biodiesel - Production,2017,"Metric tons,  thousand",5313.715,
United States,Biodiesel - Production,2016,"Metric tons,  thousand",5221,
United States,Biodiesel - Production,2015,"Metric tons,  thousand",4207,
United States,Biodiesel - Production,2014,"Metric tons,  thousand",4259,
